Fecha,Zona,Recibidos,Analizados,Corregidos,Cerrados
2026-05-01,ATLANTICO CENTRO,16,16,15,16
2026-05-01,ATLANTICO NORTE,15,15,14,15
2026-05-02,ATLANTICO CENTRO,362,362,203,362
2026-05-02,ATLANTICO NORTE,383,383,240,383
2026-05-02,ATLANTICO SUR,603,603,428,603
2026-05-03,ATLANTICO CENTRO,41,41,33,41
2026-05-03,ATLANTICO NORTE,19,19,19,19
2026-05-04,ATLANTICO CENTRO,455,455,246,455
2026-05-04,ATLANTICO NORTE,491,491,283,491
2026-05-04,ATLANTICO SUR,817,817,542,817
2026-05-05,ATLANTICO CENTRO,407,407,235,407
2026-05-05,ATLANTICO NORTE,435,435,298,435
2026-05-05,ATLANTICO SUR,859,859,722,859
2026-05-06,ATLANTICO CENTRO,480,480,325,480
2026-05-06,ATLANTICO NORTE,510,510,330,510
2026-05-06,ATLANTICO SUR,789,789,574,789
2026-05-07,ATLANTICO CENTRO,525,525,346,525
2026-05-07,ATLANTICO NORTE,497,497,334,497
2026-05-07,ATLANTICO SUR,760,760,493,760
2026-05-08,ATLANTICO CENTRO,512,512,324,512
2026-05-08,ATLANTICO NORTE,444,444,274,444
2026-05-08,ATLANTICO SUR,914,914,847,914
2026-05-09,ATLANTICO CENTRO,363,363,243,363
2026-05-09,ATLANTICO NORTE,301,301,181,301
2026-05-09,ATLANTICO SUR,699,699,655,699
2026-05-10,ATLANTICO CENTRO,15,15,13,15
2026-05-10,ATLANTICO NORTE,15,15,15,15
2026-05-11,ATLANTICO CENTRO,479,479,293,479
2026-05-11,ATLANTICO NORTE,490,490,316,490
2026-05-11,ATLANTICO SUR,838,838,785,838
2026-05-12,ATLANTICO CENTRO,451,451,309,451
2026-05-12,ATLANTICO NORTE,482,482,299,482
2026-05-12,ATLANTICO SUR,850,850,765,850
2026-05-13,ATLANTICO CENTRO,418,418,246,418
2026-05-13,ATLANTICO NORTE,479,479,324,479
2026-05-13,ATLANTICO SUR,769,769,618,769
2026-05-14,ATLANTICO CENTRO,488,488,312,488
2026-05-14,ATLANTICO NORTE,471,471,350,471
2026-05-14,ATLANTICO SUR,885,885,804,885
2026-05-15,ATLANTICO CENTRO,433,433,279,433
2026-05-15,ATLANTICO NORTE,481,481,343,481
2026-05-15,ATLANTICO SUR,858,858,764,858
2026-05-16,ATLANTICO CENTRO,293,293,181,293
2026-05-16,ATLANTICO NORTE,302,302,237,302
2026-05-16,ATLANTICO SUR,631,631,528,631
2026-05-17,ATLANTICO CENTRO,18,18,18,18
2026-05-17,ATLANTICO NORTE,14,14,14,14
2026-05-18,ATLANTICO CENTRO,16,16,12,16
2026-05-18,ATLANTICO NORTE,19,19,17,19
2026-05-19,ATLANTICO CENTRO,425,425,287,425
2026-05-19,ATLANTICO NORTE,453,453,293,453
2026-05-19,ATLANTICO SUR,872,872,798,872
2026-05-20,ATLANTICO CENTRO,476,476,278,476
2026-05-20,ATLANTICO NORTE,434,434,258,434
2026-05-20,ATLANTICO SUR,873,873,727,873
2026-05-21,ATLANTICO CENTRO,454,454,297,454
2026-05-21,ATLANTICO NORTE,425,425,293,425
2026-05-21,ATLANTICO SUR,881,881,742,881
2026-05-22,ATLANTICO CENTRO,497,497,291,497
2026-05-22,ATLANTICO NORTE,437,437,275,437
2026-05-22,ATLANTICO SUR,915,915,794,915
2026-05-23,ATLANTICO CENTRO,335,335,188,335
2026-05-23,ATLANTICO NORTE,353,353,202,353
2026-05-23,ATLANTICO SUR,659,659,568,659
2026-05-24,ATLANTICO CENTRO,20,20,15,20
2026-05-24,ATLANTICO NORTE,20,20,20,20
2026-05-25,ATLANTICO CENTRO,481,481,258,481
